Company_Name,Extracted_Links,Extracted_Text
ADANIENT LTD,"1. https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2161135#:~:text=CCI%20approves%20acquisition%20of%20Jaiprakash,*****
2. https://www.thehansindia.com/business/cci-approves-acquisition-of-jaiprakash-associates-ltd-by-adani-group-entities-1000971#:~:text=CCI%20approves%20acquisition%20of%20Jaiprakash,the%20Adani%20portfolio%20of%20companies.
3. https://www.outlookbusiness.com/corporate/adani-groups-proposal-to-buy-debt-ridden-jaiprakash-associates-gets-cci-nod#:~:text=Adani%20groups%20proposal%20to%20buy,JAL%20by%20Adani%20Group%20entities.
4. https://economictimes.indiatimes.com/adani-enterprises-ltd/stocksupdate/companyid-9074.cms#:~:text=Medi%20Assist's%20promoter%20may%20sell,Regulations%202015%20%2D%20Change%20in%20Directorate
5. https://www.ipaicmai.in/IPANEW/Uploadfiles/Newsletters/NL_02072025100027.pdf#:~:text=Adani's%20interest%2C%20particularly%20in%20JAL's%20cement%20and,significantly%20reshape%20India's%20infrastructure%20and%20cement%20sectors.","The Competition Commission of India (CCI) gave its approval for the Adani Group, through entities including Adani Enterprises Limited, to acquire Jaiprakash Associates Limited (JAL). The acquisition involves up to 100% of JAL's shares. This move is viewed as significant for the Adani Group's growth, especially in the infrastructure and real estate sectors where JAL operates. More details can be found on The Hans India ."
ADANIPORTS LTD,"1. https://www.cobrapost.com/blog/adani-group/13551#:~:text=News-,Adani%20Group's%20Vizhinjam%20Port%20Achieves%20Big%20Feat%20In%209%20Months,also%20redefined%20India's%20maritime%20map.
2. https://www.itln.in/warehousing/adani-logistics-park-breaks-ground-in-kochi-1356296#:~:text=India%20to%20explore%20launching%20dedicated,Aug%202025%208:26%20AM
3. https://cablecommunity.com/tag/adani/
4. https://cablecommunity.com/universal-cables-q2-fy-25-pat-grows-57-yoy-to-rs-18-28-cr/
5. https://sewamitra.up.gov.in/key-takeaways/Adani-Ports-and-Special-Economic-Zone-Limited-(ADANIPORTS)-Hits-52-Week-High#:~:text=of%20androgynous%20beauty.-,Adani%20Ports%20and%20Special%20Economic%20Zone%20Limited%20(ADANIPORTS)%20Hits%2052,backed%20precision%20and%20zero%20guesswork.&text=What%20analysts%20say%20about%20NMRK%20stock?","On August 27, 2025, Adani Ports and Special Economic Zone Ltd. (APSEZ) made two significant corporate announcements .

Corporate developments for ADANIPORTS Ltd. on 27.08.2025

Vizhinjam port milestone:APSEZ's Vizhinjam International Seaport marked a major milestone by handling over 1 million twenty-foot equivalent units (TEUs) in under nine months of commercial operations.

Kochi logistics park:The company broke ground on a new ₹600 crore logistics park in Kochi. The Kerala Chief Minister laid the foundation stone for the project, which is part of the state's 'Invest in Kerala' initiative."
APOLLOHOSP LTD,"1. https://www.digitalhealthnews.com/apollo-healthco-to-outpace-hospitals-with-inr-12-000-cr-revenue-target#:~:text=The%20investment%20is%20intended%20to,digitally%20forward%20generation%20of%20tomorrow.%E2%80%9D
2. https://www.digitalhealthnews.com/apollo-healthco-to-outpace-hospitals-with-inr-12-000-cr-revenue-target#:~:text=Healthtech%20Startup%20CureBay%20&%20IntelliMed%20Healthcare,PODCASTS","No significant corporate developments for APOLLOHOSP Ltd on.

While there's no major corporate development reported on August 27, 2025, there are some developments around that date:

OpenAImade moves in healthcare on August 28, 2025.

Union Health MinisterJP Naddaintroduced theAyushman Sakhichatbot on August 26, 2025.

HCG Manavatapartnered withQure.aion August 19, 2025."
ASIANPAINT LTD,"1. https://economictimes.indiatimes.com/asian-paints-ltd/stocksupdate/companyid-14034.cms#:~:text=Market%20Watch,thresholds%2C%20to%20prevent%20future%20mishaps.
2. https://www.business-standard.com/markets/asian-paints-ltd-share-price-34/announcements/bse-exchange-48722805#:~:text=Announcement%20under%20Regulation%2030%20(LODR,LODR)%2DEarnings%20Call%20Transcript","Significant Corporate Development: Newspaper Publication Regarding Transfer of Equity Shares to IEPF Significant Corporate Development: Newspaper Publication Regarding Transfer of Equity Shares to IEPF

On August 27, 2025, Asian Paints Ltd. published a notice in newspapers regarding the transfer of equity shares to the Investor Education and Protection Fund (IEPF) Authority. This action was taken in accordance with Regulation 30, read with Para A, Part A of Schedule III of the Listing Regulations.

This notice served as a communication to shareholders about the impending transfer of their shares to the IEPF Authority, as mandated by the Companies Act, 2013, and the IEPF Authority (Accounting, Audit, Transfer and Refund) Rules, 2016.

Note: While this is a significant corporate development requiring disclosure, it pertains to a regulatory compliance matter and does not necessarily indicate a change in the company's financial performance or business strategy."
AXISBANK LTD,"1. https://bfsi.economictimes.indiatimes.com/articles/axis-bank-targets-rapid-growth-in-fy26-despite-technical-credit-challenges/123536208#:~:text=Published%20On%20Aug%2027%2C%202025,line%20with%20the%20previous%20quarter.","On August 27, 2025, Axis Bank clarified that recent technical changes to asset quality recognition norms were the cause of a spike in reported slippages during the first quarter of FY26 . Management stated that the new norms would have a minimal economic impact going forward.

Key details from the announcement:

In a Q1 FY26 earnings call, Axis Bank management explained that a technical, rather than fundamental, reclassification of certain retail accounts led to higher-than-usual reported slippages.

Despite this, the bank stated it is well-positioned for faster-than-industry growth from fiscal year 2026, supported by a strong balance sheet and stabilizing retail stress.

Management also noted that margins are expected to widen over the medium term."
BAJAJ-AUTO LTD,"1. https://www.business-standard.com/companies/news/bajaj-group-likely-to-make-an-investment-of-rs-10-000-cr-for-hospital-chain-125021100629_1.html#:~:text=Among%20its%2040%20companies%2C%20Bajaj,Q1%20ResultsUpcoming%20IPO%202025
2. https://www.business-standard.com/companies/news/bajaj-group-likely-to-make-an-investment-of-rs-10-000-cr-for-hospital-chain-125021100629_1.html#:~:text=Bajaj%20Auto%20to%20take%20'legal,founded%20its%20conglomerate%20in%201926.
3. https://www.news18.com/auto/triumph-speed-400-first-batch-rolls-out-of-bajaj-auto-plant-details-inside-8425693.html#:~:text=Triumph%20Speed%20400:%20First%20Batch,Wed%2C%20Aug%2027%2C%202025
4. https://scanx.trade/stock-market-news/corporate-actions/bajaj-auto-s-subsidiary-debuts-in-commercial-paper-market-with-rs-500-crore-issue/17152504#:~:text=About%20Bajaj%20Auto,trade%20in%20the%20coming%20days.
5. https://scanx.trade/stock-market-news/corporate-actions/bajaj-auto-s-subsidiary-debuts-in-commercial-paper-market-with-rs-500-crore-issue/17152504#:~:text=Bajaj%20Auto%20Shares%20Worth%20Rs,Traded%20in%20NSE%20Block%20Deal&text=Bajaj%20Auto%20experienced%20a%20significant,91.24%20crores.
6. https://www.angelone.in/news/share-market/bajaj-auto-final-dividend-record-date-today-june-20-2025-how-much-will-1000-shares-earn#:~:text=To%20be%20eligible%20for%20Bajaj,or%20before%20June%2019%2C%202025.
7. https://www.businesstoday.in/union-budget/story/stocks-to-watch-in-union-budget-2025-investor-strategy-more-461793-2025-01-23#:~:text=Budget%202025:%20If%20GST%20on,Bajaj%20Auto%20and%20TVS%20Motor.&text=Budget%202025:%20Nuvama%20said%20higher,boost%2C%20thereby%20reinforcing%20the%20slowdown.
8. https://www.businesstoday.in/markets/stocks/story/bajaj-auto-share-falls-3-on-market-share-loss-margin-concerns-target-prices-478361-2025-05-30#:~:text=%22We%20reckon%20domestic%203Ws%20shall,before%20making%20any%20investment%20decisions.
9. https://www.angelone.in/news/share-market/bajaj-auto-final-dividend-record-date-on-june-20-what-it-means-for-shareholders#:~:text=Bajaj%20Auto%20has%20fixed%20June,or%20around%20Aug%2008%2C%202025.&text=Bajaj%20Auto%20has%20set%20June,of%20%E2%82%B9210%20per%20share.
10. https://blinkx.in/stocks/bajaj-auto-ltd#:~:text=%E2%96%B2-,Open,10
11. https://www.bajajbroking.in/share-market-news/bajaj-auto-quarterly-results#:~:text=Bajaj%20Auto%20Q3%20Results%20FY24%2D25%20Highlights:%20%E2%82%B913%2C168.88%20Crore,2%2C195.65%20Crore%20Profit%20after%20Tax&text=Bajaj%20Auto%20announced%20its%20Q3,performance%20across%20key%20financial%20metrics.
12. https://www.thestatesman.com/business/indias-bajaj-auto-mulls-setting-regional-hub-malaysia-1502503533.html#:~:text=Bajaj%20Auto%20noted%20that%20the,each%20other%2C%E2%80%9D%20said%20Amirudin.
13. https://www.indiatoday.in/auto/latest-auto-news/story/bajaj-auto-takes-over-triumphs-india-sales-and-marketing-operations-2358180-2023-04-10#:~:text=%22Bajaj%20Auto%20already%20operates%20four,business%20as%20the%20portfolio%20expands.
14. https://www.bajajauto.com/-/media/images/bajajauto/media-kit/press-release/new-quarter-results/fy2024-25/bse-outcome-q4-results.pdf
15. https://www.businesstoday.in/markets/company-stock/story/bajaj-auto-share-buyback-what-investors-need-to-know-about-rs-4000-crore-offer-412376-2024-01-09#:~:text=The%20board%20of%20Bajaj%20Auto,cent%2C%20with%20retail%20acceptance%20unchanged.
16. https://www.angelone.in/live-blog/bajaj-auto-ltd-18-aug-2025-532977#:~:text=Bajaj%20Auto%20Ltd%20Live%20Updates,to%20equity%20ratio%20of%200.2661.
17. https://simplywall.st/stocks/in/automobiles/nse-bajaj-auto/bajaj-auto-shares/news/bajaj-auto-limiteds-nsebajaj-auto-business-is-trailing-the-m#:~:text=Bajaj%20Auto%20Limited's%20(NSE:BAJAJ,t%20%2D%20Simply%20Wall%20St%20News
18. https://www.angelone.in/live-blog/bajaj-auto-ltd-28-aug-2025-532977#:~:text=Live%20Market%20Updates:%20Bajaj%20Auto,to%20the%20stock's%20recent%20performance.
19. https://m.economictimes.com/markets/expert-view/bajaj-auto-thriving-in-chaos-maintaining-20-margin-for-6-quarters-rakesh-sharma/articleshow/121571314.cms#:~:text=Rakesh%20Sharma%2C%20ED%2C%20Bajaj%20Auto%2C%20says%20Bajaj,has%20maintained%2020%25%20margin%20for%20six%20quarters.
20. https://www.angelone.in/live-blog/bajaj-auto-ltd-20-aug-2025-532977#:~:text=Bajaj%20Auto%20Ltd%20Jumps%20in,PE%20ratio%20stands%20at%2026.4302.
21. https://www.angelone.in/live-blog/bajaj-auto-ltd-29-aug-2025-532977#:~:text=Bajaj%20Auto%20Ltd%20Share%20Price%20Dips%20in%20Today's%20Trading,to%20equity%20ratio%20of%200.2661.
22. https://economictimes.indiatimes.com/bajaj-auto-ltd/stocks/companyid-21430.cms
23. https://www.icicidirect.com/research/equity/rapid-results/bajaj-auto-ltd#:~:text=Q1FY26%20Quarterly%20Result%20Announced%20for%20Bajaj%20Auto%20Ltd.&text=Revenue%20from%20Operations:%20Rs%2012%2C584,during%20Q1FY25%2C%20change%203%25.
24. https://economictimes.indiatimes.com/bajaj-auto-ltd/stocksupdate/companyid-21430.cms#:~:text=Press%20Release%20%2D%20Bajaj%20Auto%20Overcomes,%2C2025%2C%2005:24PM%20IST","Analysis of search results:

Based on the available information, the most significant corporate news for Bajaj Auto Ltd published on August 27, 2025, seems to be related to the Triumph Speed 400.

Answer: On August 27, 2025, the first batch of Triumph Speed 400 motorcycles rolled out of the Bajaj Auto plant.

Several results discuss Bajaj Auto's stock price movements around August 27, 2025, but these are explicitly excluded by the user request.

One result mentions the first batch of Triumph Speed 400 rolling out of a Bajaj Auto plant on August 27, 2025.

Other results discuss older news (e.g., May 2025 dividend, February 2025 hospital investment plans, October 2017 Malaysia hub), or general financial analysis and market commentary not specific to August 27, 2025.

The user is interested in substantial corporate developments and business updates."
BAJAJFINSV LTD,"1. https://www.livemint.com/industry/banking/bank-holiday-today-are-banks-open-or-closed-on-wednesday-august-27-for-ganesh-chaturthi-check-region-wise-list-here-11756255020206.html#:~:text=Ganesh%20Chaturthi%20bank%20holiday%20%2D%20Region,%2C%202025%2C%20according%20to%20Drikpanchang.
2. https://www.livemint.com/market/stock-market-news/stock-market-holiday-is-the-indian-stock-market-open-or-closed-on-ganesh-chaturthi-2025-11756195297731.html#:~:text=Read%20More-,Stock%20market%20holidays%20in%20August%202025,2025%20for%20Ganesh%20Chaturthi%202025.
3. https://www.livemint.com/market/stock-market-news/stock-market-holiday-is-the-indian-stock-market-open-or-closed-on-ganesh-chaturthi-2025-11756195297731.html","While searches for Bajaj Finserv on August 27, 2025, indicate the Indian stock market was closed for Ganesh Chaturthi, there were no substantial corporate developments or business updates for the company on this date."
BAJFINANCE LTD,1. https://www.marketscreener.com/news/indian-financial-markets-closed-on-august-27-for-holiday-ce7c50d9d180ff24#:~:text=Indian%20financial%20markets%20closed%20on%20August%2027%20for%20holiday&text=MarketScreener,"No significant corporate developments for BAJFINANCE Ltd on August 27, 2025 . All the available search results for this date pertain to routine market commentary and closure of Indian financial markets for a holiday. Corporate announcements or major news articles about substantial business updates were not found."
BEL LTD,"1. https://www.businesstoday.in/markets/stocks/story/bel-apollo-micro-systems-sunil-shahs-top-2-defence-stock-picks-491282-2025-08-27#:~:text=Updated%20Aug%2027%2C%202025%201,told%20Business%20Today%20on%20Tuesday.
2. https://www.businesstoday.in/markets/stocks/story/hal-bel-bdl-solar-industries-data-patterns-target-prices-for-5-defence-stocks-491269-2025-08-27#:~:text=The%20strong%20order%20books%20and,be%20construed%20as%20investment%20advice.","Based on the search results, there were no substantial corporate developments or business updates for BEL Ltd published on August 27, 2025 . The news on that day primarily focused on analyst commentary and market trends, including general sentiment towards defence stocks."
BHARTIARTL LTD,No links found for BHARTIARTL Ltd,No significant corporate developments for BHARTIARTL Ltd on 27.08.2025.
